401 50
0.000131463 0.0116382 0.0106016
0.0271556 0.132753 0.0275792
0.027927 0.191611 0.0325137
0.0342217 0.268895 0.0371491
0.0308484 0.280731 0.04102
0.0367771 0.33378 0.0390992
0.0377659 0.347925 0.0358142
0.0407877 0.374045 0.0329161
0.0347395 0.399 0.0413362
0.0355204 0.366842 0.0387594
0.0386271 0.398837 0.0432618
0.0404786 0.392014 0.0351827
0.0472394 0.38113 0.0423449
0.0444488 0.396548 0.0348794
0.0536768 0.422783 0.0315286
0.0469347 0.389884 0.0297657
0.0453132 0.41632 0.0291039
0.0455389 0.378698 0.037535
0.0412042 0.403019 0.036775
0.0498425 0.437854 0.0404176
0.049923 0.401874 0.0418528
0.045963 0.449188 0.0483181
0.0442917 0.43891 0.0576835
0.0431448 0.358253 0.0578257
0.0404361 0.373695 0.0478846
0.0417412 0.383864 0.0426009
0.0471489 0.43125 0.0531793
0.0416027 0.421066 0.0420425
0.0450815 0.434259 0.0450037
0.0441927 0.388512 0.038907
0.0419733 0.373797 0.0458847
0.0420804 0.416091 0.0425693
0.045196 0.46402 0.0485592
0.044868 0.435277 0.0519331
0.0407442 0.406385 0.0419742
0.0428414 0.409074 0.0433702
0.0399894 0.473751 0.0426901
0.0379248 0.432391 0.0449652
0.0405054 0.420333 0.042894
0.0439027 0.497707 0.0512534
0.0425856 0.480246 0.049354
0.038598 0.441638 0.0413174
0.0438375 0.497798 0.0436078
0.0400552 0.458126 0.0415661
0.0404682 0.457054 0.0404112
0.040741 0.473992 0.0483537
0.0401809 0.411797 0.0438146
0.0430342 0.432973 0.0517186
0.0381297 0.457789 0.0527293
0.039476 0.476189 0.0494698
0.0345212 0.499525 0.042896
0.0359644 0.477124 0.0463386
0.0365696 0.488635 0.0422554
0.0346639 0.476262 0.0390633
0.0364647 0.430022 0.0374346
0.042901 0.523462 0.0558259
0.0368984 0.545757 0.0501358
0.0361412 0.492985 0.046054
0.0367663 0.451136 0.0434895
0.0354415 0.472926 0.0443033
0.0353861 0.469191 0.0502207
0.0386773 0.462403 0.0530422
0.0400207 0.395282 0.0534273
0.0401068 0.379572 0.0572029
0.0414329 0.442326 0.0452997
0.04672 0.465635 0.0390711
0.0406677 0.446692 0.0336352
0.0419276 0.526257 0.0432785
0.0414089 0.471691 0.0450845
0.0399389 0.466579 0.0361733
0.0399593 0.494807 0.0398388
0.0413348 0.46092 0.0433891
0.0377942 0.478637 0.0475666
0.0375266 0.492333 0.0446737
0.0376153 0.544055 0.0490352
0.0415722 0.559131 0.0454161
0.0404427 0.501725 0.0402653
0.0443592 0.532282 0.0448407
0.0409686 0.462056 0.0434421
0.0415267 0.518527 0.0506827
