201 100
0.00012207 0.00226564 0.00228249
0.00228247 0.032965 0.00580247
0.00328838 0.0548437 0.00575251
0.00430861 0.0713596 0.00633284
0.0052021 0.0893837 0.00655588
0.00602516 0.0994234 0.00653235
0.00668091 0.111502 0.00637336
0.00757679 0.12286 0.00687252
0.00815724 0.133647 0.0065449
0.0088677 0.146991 0.00724203
0.00952797 0.153393 0.0074592
0.0102152 0.165659 0.00701409
0.0109276 0.177189 0.00691709
0.0114057 0.167262 0.00765966
0.0117327 0.178596 0.00699412
0.012426 0.191209 0.00760813
0.0129733 0.188273 0.0076294
0.0134135 0.204743 0.00757757
0.0139391 0.195269 0.00736943
0.0140397 0.218668 0.00667286
0.0148549 0.208317 0.00777152
0.0151553 0.217602 0.00733026
0.0157841 0.228998 0.00739179
0.0162205 0.238142 0.00799398
0.0169749 0.214867 0.00700879
0.0168846 0.2238 0.00766329
0.0167503 0.241988 0.00759073
0.0172075 0.263065 0.00727862
0.0180483 0.26494 0.00716368
0.0183443 0.251867 0.00689296
0.0185697 0.274731 0.00797304
0.0190013 0.276161 0.00751867
0.0194346 0.27067 0.00760691
0.0194256 0.269 0.00779393
0.019711 0.289465 0.00737029
0.0198659 0.289967 0.00776082
0.0201589 0.259606 0.00750688
0.0209014 0.296754 0.00816372
0.0208637 0.301619 0.00770945
0.021058 0.313602 0.00759553
0.0215274 0.307818 0.00805812
0.0219262 0.333296 0.00813077
0.0221273 0.321148 0.0080163
0.0225871 0.327831 0.00730352
0.0227297 0.326874 0.00751535
0.0226621 0.324367 0.00790988
0.0228454 0.309551 0.00743576
0.0226052 0.346627 0.00752406
0.0229916 0.343285 0.00773108
0.0230381 0.369973 0.00796204
0.0233256 0.322528 0.00811373
0.0240258 0.333754 0.00847952
0.0238349 0.327277 0.00774788
0.0237965 0.333438 0.00774785
0.0242702 0.360669 0.00852414
0.0246431 0.349 0.00788002
0.0246779 0.340316 0.00783527
0.0252832 0.340888 0.0083926
0.0253814 0.341209 0.00801008
0.0256286 0.351561 0.00910133
0.0259158 0.346011 0.00763875
0.0256611 0.338932 0.00811095
0.0258599 0.329198 0.00811203
0.0260617 0.369232 0.008423
0.0260312 0.377061 0.00767511
0.0259464 0.360159 0.00862517
0.0264137 0.381728 0.00886446
0.0268345 0.356218 0.0078585
0.0265253 0.404538 0.00788653
0.0265819 0.375443 0.00880398
0.02683 0.402095 0.00829452
0.0272256 0.413608 0.00867271
0.0272013 0.390158 0.00849002
0.0275611 0.375491 0.0079619
0.0278645 0.382658 0.00797656
0.0275839 0.380616 0.00804142
0.0274637 0.393148 0.00842938
0.0276378 0.380257 0.00799243
0.02816 0.39456 0.00896473
0.0282606 0.396605 0.00789596
0.0283976 0.396044 0.00822037
0.028472 0.405489 0.0082762
0.0288465 0.40508 0.0077996
0.0283752 0.421317 0.00860328
0.0277656 0.408976 0.00792688
0.0284535 0.414314 0.00832141
0.0285506 0.435363 0.00755158
0.0289141 0.406117 0.00862689
0.028692 0.387971 0.00783491
0.0295583 0.400811 0.00804779
0.0289981 0.422922 0.00794565
0.0293588 0.421009 0.00808839
0.0299124 0.443386 0.00871002
0.030352 0.402911 0.0090066
0.0305071 0.432863 0.00761182
0.0301954 0.434977 0.00777637
0.030148 0.461777 0.00805293
0.0299588 0.421082 0.00818376
0.0304717 0.440072 0.00791784
0.0303992 0.447003 0.00806952
0.0305716 0.436126 0.00754412
0.0306834 0.449064 0.00787287
0.0310639 0.449267 0.00803341
