// Initial random seed:
1501397958109

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
1
38 26 36 25
41 21 35 26
37 20 34 23
32 20 36 21
35 21 34 29
29 20 39 17
42 25 34 28
38 21 40 23
40 24 37 26
31 26 33 21
38 25 40 25
39 22 35 23
35 23 29 22
36 28 32 20
38 19 29 25
37 17 29 20
37 17 34 20
36 19 33 26
37 27 36 25
37 28 35 23
39 21 32 25
36 28 41 15
38 22 34 26
38 25 35 36
38 26 34 15
36 24 30 24
35 27 39 22
42 20 34 22
36 22 33 29
41 20 32 20
33 25 33 24
32 20 39 26
40 22 34 26
37 18 31 22
41 21 35 21
41 25 32 18
41 26 28 25
34 24 35 23
38 23 34 26
37 21 35 20
36 26 34 18
41 22 37 25
41 22 37 24
31 24 34 23
36 22 32 25
41 21 39 22
32 23 34 18
38 22 31 19
35 26 38 21
36 19 32 23
35 20 35 25
35 23 35 20
36 22 31 21
37 26 37 20
37 26 35 22
36 21 33 20
31 24 41 18
36 26 26 21
36 21 33 27
32 29 40 22
33 21 32 22
38 31 33 16
36 23 36 22
37 26 30 25
42 28 33 18
41 26 28 22
37 20 31 25
38 22 30 22
40 28 34 25
39 25 32 20
38 27 37 19
38 20 34 21
38 25 32 32
37 35 28 28
39 30 31 25
36 27 36 27
38 18 30 18
35 25 32 21
34 23 34 27
33 27 33 18
40 23 34 23
37 23 25 26
39 22 34 21
34 21 35 26
37 24 35 18
36 22 41 30
42 30 35 26
38 23 34 16
39 34 40 22
43 20 32 28
34 24 30 18
41 29 35 19
39 25 37 22
43 19 35 27
32 26 31 21
37 19 30 21
42 25 26 30
36 22 41 25
35 24 30 24
36 27 37 24
35 25 38 26
38 25 34 27
45 27 38 29
37 21 32 19
39 21 34 17
33 25 33 28
36 21 30 25
32 19 34 25
38 24 35 14
41 26 37 23
34 21 32 23
38 21 34 28
42 24 34 23
37 22 36 20
33 24 37 21
35 27 34 27
38 26 26 21
40 24 39 18
40 25 34 26
39 27 38 23
35 30 27 24
34 27 31 29
34 26 31 19
36 24 35 21
39 22 32 21
36 20 37 26
35 25 30 24
32 28 32 24
40 26 38 20
39 22 40 26
38 21 29 26
37 28 36 22
40 28 38 17
29 24 29 23
33 23 38 20
37 24 32 28
32 26 35 24
35 21 34 19
38 24 33 21
39 20 30 25
37 30 38 27
36 29 35 25
36 18 36 18
33 23 35 19
36 30 31 20
34 25 41 24
38 22 39 26
36 25 27 18
34 18 37 21
37 24 35 21
40 29 30 26
33 25 33 21
41 21 31 18
37 19 34 27
36 29 37 20
37 28 32 21
38 26 29 25
34 25 40 22
37 22 32 17
32 24 40 28
37 23 33 24
34 22 32 18
31 22 34 25
38 23 33 23
34 27 34 19
39 20 32 24
39 19 27 21
37 25 31 22
39 21 36 23
40 25 32 28
36 22 36 24
33 23 30 30
33 32 31 16
34 20 33 20
35 26 35 21
34 20 33 23
36 27 29 22
39 31 32 22
36 21 39 26
40 27 36 21
37 21 32 28
39 23 32 19
37 26 31 20
37 27 39 26
40 23 36 21
43 20 32 27
39 23 34 18
36 32 36 29
33 25 37 19
40 19 32 17
33 26 34 25
38 24 38 26
33 24 34 26
38 21 32 26
39 23 35 22
40 29 28 24
35 24 32 19
34 23 31 18
37 18 32 25
40 28 41 24
39 23 35 25
35 22 36 19
37 24 32 18
36 23 31 20
40 34 31 19
33 28 32 24
39 20 33 25
30 25 35 19
42 27 31 26
29 19 36 21
38 28 36 20
40 20 31 27
39 25 36 23
35 27 31 28
41 25 36 28
38 26 33 20
38 23 35 28
33 25 31 23
44 29 36 25
41 26 36 31
39 23 37 22
41 23 34 20
34 24 34 23
41 27 39 31
37 26 34 23
34 26 35 14
35 23 33 29
39 27 39 23
40 27 38 31
37 29 39 23
34 23 36 20
41 27 37 23
40 23 32 30
40 23 33 25
36 22 35 24
39 27 32 25
38 25 28 23
33 23 34 21
35 26 36 14
41 22 31 21
38 28 36 29
34 23 28 24
36 17 34 18
36 28 34 26
39 21 39 21
38 22 32 21
39 23 27 24
36 23 41 26
48 25 38 15
37 24 33 25
35 19 37 19
35 23 37 22
39 21 36 21
34 25 41 17
38 24 31 21
39 23 31 22
35 28 33 20
35 23 39 18
30 27 37 17
35 24 27 24
40 23 34 23
35 27 34 27
38 25 37 23
32 19 32 24
39 20 29 24
35 21 39 24
40 28 34 23
37 30 34 23
39 27 38 23
36 23 30 21
39 25 34 21
37 30 33 23
36 25 36 22
35 28 37 19
38 25 31 26
39 27 36 23
37 19 35 22
40 24 32 23
38 25 32 18
34 25 35 20
37 18 31 23
27 23 30 19
34 31 30 22
36 26 35 30
33 32 38 21
39 23 36 23
39 21 35 23
36 23 33 25
35 20 38 26
38 26 32 18
35 19 37 24
41 25 27 26
36 23 36 28
41 25 36 22
39 28 33 25
36 28 36 27
34 29 31 29
35 22 35 24
34 24 36 20
38 17 38 23
41 30 39 22
36 21 37 17
39 24 33 23
38 21 33 24
32 29 35 23
34 24 35 25
36 20 33 25
40 27 33 25
40 27 36 24
35 24 35 26
41 28 34 24
35 28 39 21
38 28 37 17
38 23 32 26
39 25 36 19
43 30 30 29
36 20 28 21
35 24 31 20
40 25 32 21
40 22 32 27
37 26 41 24
36 26 35 27
38 24 33 24
43 24 37 21
37 25 32 22
38 21 39 18
40 21 33 23
36 24 35 23
39 21 40 22
27 31 35 23
33 19 32 20
35 23 35 25
35 23 34 18
38 21 37 22
35 24 37 25
32 26 32 21
42 24 35 24
33 27 28 20
39 25 32 22
45 26 33 19
39 28 34 25
40 19 31 22
38 21 33 20
37 22 30 22
36 23 28 25
34 20 37 19
37 27 35 26
33 26 35 19
34 26 37 26
43 23 33 23
39 19 30 18
39 27 33 19
41 29 34 21
43 22 31 23
38 27 35 18
36 25 28 21
39 20 36 18
34 20 40 21
40 26 30 27
37 27 36 28
41 28 40 27
37 26 32 17
34 23 25 23
41 31 35 22
36 25 36 21
34 19 41 21
37 29 36 19
34 26 33 24
38 23 34 26
38 27 30 28
41 21 41 21
38 25 33 28
36 23 31 17
34 24 35 24
38 23 32 24
35 27 34 24
35 23 34 17
34 24 34 26
37 22 37 25
36 24 27 23
41 24 31 24
38 24 38 23
36 26 32 23
37 23 38 19
35 22 34 20
33 23 37 32
37 26 35 23
37 24 31 21
38 31 38 26
37 24 36 24
41 24 40 21
40 28 32 22
37 27 34 22
39 24 34 20
37 23 39 26
38 27 27 20
35 26 33 21
36 25 31 20
40 25 31 20
38 24 33 22
34 25 31 25
36 20 36 26
35 24 40 23
36 20 33 21
40 23 35 21
36 29 33 20
35 25 39 26
36 22 28 20
34 27 37 20
31 19 39 16
32 25 36 26
37 23 33 21
33 24 31 17
45 25 33 20
37 24 28 21
37 20 33 18
36 28 31 32
34 25 35 19
41 25 31 26
37 24 28 25
33 20 35 22
45 25 39 26
37 25 41 26
35 22 31 23
39 22 36 19
38 17 37 25
35 25 32 21
36 24 35 23
35 25 33 20
38 19 33 25
36 26 34 24
33 26 29 26
39 23 30 25
33 34 36 20
35 27 35 20
35 25 36 24
35 22 36 26
35 19 41 29
38 23 29 16
41 25 37 21
37 19 35 24
38 32 33 26
41 27 32 27
38 25 27 16
40 26 36 19
43 24 38 24
29 18 25 26
39 26 37 22
37 28 33 28
40 23 36 19
42 19 34 24
35 27 34 20
37 28 36 23
38 23 34 24
37 21 33 17
39 22 30 18
35 21 30 24
39 26 32 20
38 27 29 22
39 23 34 28
34 28 40 28
33 24 39 26
36 27 37 20
35 23 33 20
36 25 31 22
40 24 31 29
39 21 32 26
34 24 38 24
35 21 35 25
34 19 29 22
38 21 34 24
32 22 31 22
37 24 29 19
37 23 31 25
31 25 39 27
40 26 36 22
38 26 29 22
36 24 35 22
43 25 30 21
37 22 34 25
36 24 36 21
38 18 34 22
33 22 29 20
35 26 34 22
37 21 31 13
34 28 36 20
37 30 39 18
38 20 31 23
37 24 34 29
33 26 36 27
36 20 35 25
36 23 38 21
36 20 31 24
35 26 29 23
40 25 32 25
38 22 26 20
37 18 35 22
36 25 34 30
36 22 39 28
36 18 37 19
39 26 35 29
35 35 31 25
35 22 36 18
37 26 27 15
36 25 36 17
33 28 37 14
41 23 33 28
31 17 30 21
35 24 36 22
31 23 42 23
38 22 38 19
32 25 38 21
38 24 36 19
37 23 35 23
34 30 35 21
35 25 36 23
36 25 35 19
38 19 34 26
34 16 36 16
37 28 35 20
31 21 31 26
34 20 36 20
35 28 29 24
35 29 32 22
43 26 30 20
44 24 37 22
41 27 33 16
35 31 35 20
35 20 34 21
36 25 35 25
33 27 32 21
39 22 28 28
35 25 30 17
34 22 21 23
38 23 31 24
37 21 33 24
42 28 36 23
36 23 34 22
33 23 36 23
36 24 29 17
39 25 42 21
35 20 37 26
36 24 36 23
38 22 33 20
35 19 32 30
34 24 31 28
36 26 40 20
39 24 38 23
32 29 36 26
33 21 34 25
37 25 38 22
33 24 38 25
41 27 34 25
33 23 37 28
36 22 34 21
37 23 28 21
41 23 38 29
31 25 35 23
36 26 36 22
42 23 34 27
35 22 29 17
43 28 33 29
35 26 37 26
40 25 34 23
43 22 37 26
35 23 35 22
32 20 30 21
37 29 32 21
39 26 37 23
41 25 33 19
41 19 33 26
37 23 35 19
35 34 42 24
34 20 40 25
40 23 38 19
41 25 36 30
34 26 38 18
37 24 36 22
36 18 33 32
35 28 32 23
37 20 37 24
35 22 32 21
37 22 28 28
37 26 39 25
37 25 36 18
40 22 36 24
38 21 35 25
41 23 32 28
36 21 34 22
36 23 43 22
36 24 36 19
31 20 38 18
41 18 31 21
36 24 31 21
33 22 34 19
39 28 34 23
39 20 40 21
39 22 30 25
39 23 36 23
35 28 38 24
33 25 31 21
40 24 32 22
34 20 32 25
33 24 31 19
33 22 32 22
38 18 37 20
33 23 26 25
35 20 31 24
39 22 35 25
37 26 30 21
31 24 39 25
41 26 36 27
35 26 36 23
36 19 33 20
34 30 35 30
37 24 37 20
38 20 30 25
42 26 36 24
34 24 30 22
42 22 32 29
33 24 34 24
41 23 37 23
34 24 38 22
37 25 41 24
34 23 35 20
43 28 31 24
36 24 36 24
38 25 40 23
38 23 35 24
36 31 38 22
41 30 26 20
34 20 26 28
37 27 37 15
42 21 28 25
36 22 28 24
39 29 39 19
37 23 36 24
37 21 32 26
32 23 39 26
35 28 33 20
46 26 39 24
35 26 34 23
35 26 32 23
38 21 38 28
37 24 34 25
44 30 38 26
42 21 30 21
39 29 34 19
41 30 33 22
35 19 32 24
34 28 37 22
42 32 35 23
35 23 35 27
41 22 31 23
35 30 40 26
37 30 36 16
31 25 34 18
37 20 36 29
38 28 34 29
42 24 36 22
41 26 35 32
35 28 34 28
36 28 37 22
39 24 36 20
37 23 37 17
40 23 36 23
42 26 34 23
36 25 35 25
37 24 35 22
33 18 35 26
40 24 27 19
39 23 43 22
41 26 37 22
37 27 32 22
42 22 36 19
39 26 28 23
38 20 36 21
38 21 32 18
36 22 32 24
37 19 40 21
36 24 35 22
37 23 32 18
31 30 33 18
37 22 31 22
34 26 33 24
38 23 34 25
40 26 39 27
36 20 27 26
33 20 38 25
37 22 36 21
40 26 31 19
39 21 37 25
42 23 36 29
38 25 35 22
35 24 41 23
34 28 37 22
41 23 31 22
37 19 34 19
36 33 33 26
37 25 39 24
37 26 36 18
42 21 36 20
37 20 30 25
41 22 30 19
36 25 31 19
35 28 33 21
33 26 35 20
39 20 32 24
33 24 34 27
35 26 35 27
37 28 34 23
34 26 31 23
39 30 38 28
32 23 35 27
34 26 33 23
41 18 36 25
33 24 31 20
37 22 28 19
34 18 41 20
32 22 36 24
40 26 32 24
38 26 36 21
40 17 30 20
32 29 37 21
36 22 35 23
38 27 33 25
35 27 38 16
