// Initial random seed:
1500240787845

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
400
83 41 83 41
83 232 83 232
83 249 83 249
82 290 82 290
83 323 83 323
83 303 83 303
80 328 80 328
79 336 79 336
77 330 77 330
74 362 74 362
71 336 71 336
72 335 72 335
69 348 69 348
66 347 68 345
65 361 67 359
64 379 64 379
63 383 66 380
65 389 67 387
60 410 63 407
59 396 63 392
61 427 64 424
63 415 66 412
59 418 63 414
59 396 63 392
61 381 62 380
58 419 62 415
57 411 58 410
57 402 55 404
56 409 59 406
51 416 53 414
49 440 52 437
48 442 51 439
48 461 50 459
47 452 53 446
49 450 50 449
49 448 49 448
48 425 45 428
51 442 49 444
49 427 49 427
51 465 46 470
48 447 48 447
49 459 47 461
52 456 47 461
52 437 47 442
52 420 45 427
56 430 45 441
54 409 41 422
50 401 44 407
47 426 42 431
52 422 46 428
45 425 38 432
44 448 38 454
50 427 42 435
46 448 39 455
48 439 43 444
46 463 43 466
46 473 42 477
48 464 42 470
50 435 45 440
50 462 47 465
50 465 44 471
46 462 41 467
48 449 39 458
48 452 42 458
46 479 42 483
44 469 39 474
43 463 37 469
46 473 39 480
45 461 39 467
47 460 40 467
50 455 40 465
49 463 41 471
48 457 40 465
51 455 41 465
45 470 36 479
45 467 38 474
42 469 39 472
43 471 38 476
38 483 35 486
41 489 40 490
40 509 40 509
43 499 42 500
42 484 45 481
39 479 41 477
38 481 39 480
38 466 39 465
40 455 39 456
42 480 39 483
42 456 44 454
43 467 41 469
45 472 41 476
48 459 38 469
49 438 42 445
45 436 40 441
52 439 43 448
50 457 44 463
46 455 42 459
50 452 41 461
51 441 48 444
47 459 47 459
48 455 44 459
46 456 42 460
49 439 41 447
51 448 43 456
46 436 43 439
45 420 47 418
48 436 46 438
44 437 44 437
43 441 45 439
47 423 43 427
49 450 44 455
50 464 43 471
54 446 41 459
50 449 40 459
48 446 41 453
52 451 41 462
52 438 38 452
55 440 37 458
49 431 37 443
57 444 42 459
54 449 43 460
52 436 44 444
52 436 43 445
57 448 42 463
56 431 44 443
54 444 41 457
58 455 41 472
59 419 44 434
58 446 40 464
58 456 42 472
56 435 39 452
54 451 37 468
53 441 40 454
53 462 41 474
51 459 39 471
52 450 42 460
52 462 42 472
49 439 43 445
48 462 40 470
46 454 40 460
48 447 38 457
48 433 38 443
44 461 38 467
41 445 33 453
45 439 38 446
44 446 37 453
43 471 35 479
41 460 38 463
41 442 39 444
39 453 38 454
43 455 39 459
44 472 41 475
41 469 41 469
46 452 44 454
47 446 42 451
48 434 42 440
49 454 44 459
51 478 46 483
48 455 51 452
50 444 48 446
46 455 47 454
54 469 46 477
50 444 46 448
53 470 48 475
55 457 51 461
54 442 50 446
58 446 49 455
63 427 50 440
65 436 50 451
62 425 48 439
59 438 48 449
59 442 43 458
59 416 46 429
65 439 50 454
60 435 50 445
59 459 48 470
55 476 53 478
57 456 49 464
57 449 46 460
49 446 47 448
49 437 46 440
52 430 48 434
58 429 46 441
57 451 40 468
55 461 43 473
54 439 46 447
52 481 50 483
55 463 50 468
62 458 50 470
58 452 50 460
55 459 51 463
56 460 51 465
57 461 53 465
55 472 52 475
58 486 50 494
54 491 47 498
57 445 46 456
59 472 48 483
55 471 50 476
59 457 51 465
55 445 49 451
61 465 52 474
60 479 53 486
61 473 53 481
54 461 52 463
57 472 51 478
57 465 54 468
56 456 56 456
63 458 53 468
65 473 55 483
62 474 52 484
57 474 55 476
59 463 59 463
63 458 54 467
58 461 61 458
58 463 56 465
62 446 54 454
59 469 54 474
59 452 51 460
60 451 51 460
60 450 53 457
53 464 50 467
60 460 50 470
52 460 47 465
51 476 50 477
53 460 51 462
54 447 52 449
56 433 50 439
54 468 50 472
56 444 49 451
54 459 45 468
54 460 46 468
56 457 51 462
54 459 51 462
53 457 53 457
60 464 52 472
63 454 53 464
59 457 51 465
59 453 48 464
56 469 51 474
58 477 51 484
60 451 50 461
62 450 47 465
58 459 49 468
51 457 51 457
55 463 50 468
55 454 52 457
56 469 53 472
56 486 50 492
57 481 53 485
54 444 56 442
56 449 52 453
53 452 52 453
53 448 55 446
59 443 53 449
55 470 50 475
55 473 55 473
51 455 56 450
52 466 55 463
52 460 54 458
58 472 54 476
52 470 54 468
53 461 55 459
58 459 53 464
56 480 51 485
55 460 52 463
62 456 52 466
56 471 49 478
55 480 53 482
58 432 52 438
54 465 49 470
58 436 46 448
60 445 48 457
53 435 51 437
54 456 48 462
56 431 50 437
57 451 48 460
60 453 50 463
56 462 48 470
53 473 46 480
51 461 46 466
51 452 45 458
52 456 42 466
51 453 41 463
54 452 43 463
57 424 44 437
54 469 41 482
54 463 41 476
53 447 45 455
57 463 43 477
53 442 42 453
51 451 38 464
50 429 42 437
52 429 43 438
54 427 44 437
46 452 40 458
47 445 38 454
45 462 42 465
42 447 40 449
45 448 41 452
44 451 39 456
46 460 37 469
48 454 38 464
51 450 36 465
51 467 39 479
53 431 39 445
50 449 37 462
46 456 42 460
49 468 38 479
47 466 38 475
50 443 37 456
45 445 41 449
52 437 38 451
50 444 41 453
49 471 35 485
51 445 34 462
47 448 35 460
49 440 35 454
52 436 35 453
50 455 32 473
49 457 36 470
44 458 36 466
43 462 35 470
46 469 33 482
47 464 35 476
43 455 33 465
47 453 30 470
39 463 35 467
42 440 36 446
42 450 35 457
45 471 33 483
41 466 31 476
37 458 36 459
42 464 35 471
42 475 37 480
42 463 35 470
42 485 35 492
43 451 38 456
43 455 41 457
45 435 42 438
44 461 39 466
45 448 42 451
45 438 41 442
48 465 38 475
51 434 41 444
45 447 43 449
48 454 40 462
50 449 39 460
51 454 40 465
54 457 40 471
49 464 42 471
46 469 44 471
46 461 47 460
48 468 42 474
50 442 40 452
45 455 42 458
45 436 43 438
43 439 44 438
42 443 42 443
47 439 38 448
44 468 40 472
39 461 38 462
42 449 40 451
42 488 39 491
40 484 39 485
40 463 39 464
44 448 39 453
42 464 36 470
39 477 35 481
42 475 36 481
39 474 38 475
42 510 41 511
44 499 39 504
49 460 40 469
51 463 43 471
52 463 38 477
52 453 38 467
47 469 37 479
43 467 36 474
43 454 36 461
42 473 33 482
44 474 33 485
46 464 35 475
43 459 35 467
43 460 38 465
43 476 38 481
46 474 35 485
47 434 41 440
45 454 41 458
46 446 41 451
51 442 46 447
48 464 46 466
51 443 41 453
56 445 40 461
51 460 40 471
53 446 40 459
58 459 42 475
52 456 44 464
50 436 43 443
52 452 44 460
