// Initial random seed:
1500117342369

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
1
25 22 39 31
37 26 45 25
36 25 41 21
33 26 41 26
35 23 45 23
33 33 44 20
32 22 45 21
37 29 45 30
36 30 42 20
38 31 35 23
40 31 42 26
40 28 42 30
38 30 34 27
34 27 40 27
40 35 36 23
35 27 35 19
36 26 40 14
40 22 39 22
39 30 36 24
45 32 43 24
35 29 40 20
38 30 38 21
41 28 39 20
37 33 50 22
33 29 41 26
34 28 41 18
41 37 43 26
34 32 40 28
30 28 37 28
36 25 36 18
43 25 41 18
38 28 47 23
36 24 40 25
37 37 45 23
42 35 43 26
40 29 45 27
45 32 49 23
39 33 42 17
36 26 34 26
41 36 36 26
28 26 38 26
33 29 37 30
42 35 39 20
41 34 43 29
37 29 46 26
47 32 44 23
43 22 38 25
45 29 38 26
37 28 35 25
32 28 40 25
40 28 41 25
33 30 37 30
40 33 44 21
38 31 48 27
30 35 42 33
41 24 42 20
47 34 37 26
35 28 46 22
39 24 34 20
43 25 40 23
38 28 35 20
36 28 35 25
36 31 39 24
40 30 37 31
43 29 40 28
35 34 40 27
35 31 41 24
36 29 37 28
36 26 41 28
43 37 42 23
40 29 43 26
42 33 40 18
39 34 39 21
38 32 43 27
37 30 41 26
34 28 44 22
39 33 38 25
42 28 47 23
38 32 39 24
42 30 40 24
28 26 39 19
42 33 40 30
35 32 39 22
37 26 45 26
40 28 39 19
36 27 40 18
36 28 40 20
39 36 43 27
39 33 40 29
42 29 40 24
37 25 35 22
41 23 42 23
33 29 38 31
42 28 41 28
40 28 42 21
40 26 50 25
30 35 40 24
38 38 34 25
39 25 46 31
40 33 41 23
39 30 48 23
38 28 42 25
35 32 41 19
40 31 38 35
34 30 44 19
39 27 40 25
40 32 41 24
37 29 45 27
35 30 44 27
40 26 40 30
35 28 38 27
34 29 40 24
39 34 39 30
36 34 50 31
39 26 37 21
37 28 42 26
39 25 41 21
40 34 33 28
36 29 40 28
37 35 40 26
32 33 46 31
37 31 44 29
32 36 44 22
39 30 39 26
36 35 36 25
39 37 42 28
42 23 44 23
38 27 37 23
35 27 42 25
42 28 42 24
37 27 42 24
38 31 46 23
38 30 41 24
36 27 41 20
38 28 35 27
35 25 34 24
32 28 39 27
34 30 43 30
37 25 40 26
39 28 44 23
35 26 42 21
35 23 44 22
40 33 35 25
38 30 39 28
31 35 43 25
41 33 47 25
34 29 40 33
37 30 41 21
34 30 44 24
32 28 41 23
37 28 47 25
37 36 34 22
39 30 40 25
38 23 45 22
37 28 46 32
40 30 42 27
32 27 39 25
40 23 43 24
36 36 40 24
28 32 39 26
37 25 46 21
35 32 44 19
38 30 44 30
38 33 45 27
38 28 37 25
36 34 46 24
39 35 34 24
43 24 39 26
42 35 41 21
39 27 44 22
36 31 37 24
40 26 38 18
40 35 45 26
36 35 46 23
38 31 46 26
37 31 33 21
41 30 44 25
37 30 42 25
41 30 43 27
38 27 46 23
35 30 44 19
36 26 40 26
39 34 44 25
40 28 44 24
38 37 35 20
35 26 45 22
34 31 42 31
46 29 42 24
37 27 36 24
38 23 42 23
41 36 42 27
37 27 43 24
41 27 36 21
39 29 40 23
32 26 39 27
41 32 38 30
41 31 38 19
34 25 38 24
31 31 43 24
42 32 42 30
34 33 36 23
35 26 34 22
38 34 35 20
38 20 43 17
32 29 38 20
38 29 42 26
33 29 34 26
36 33 37 26
35 30 48 25
38 27 43 26
35 26 36 25
33 33 39 27
35 30 37 23
34 26 33 20
41 30 46 26
39 28 46 25
34 29 40 21
40 21 39 23
38 32 39 23
33 26 39 30
43 32 34 24
38 26 37 26
36 32 37 25
38 29 43 24
42 25 46 23
37 33 43 25
41 34 35 25
36 25 37 25
44 30 42 17
41 29 43 28
37 27 42 21
35 31 46 27
41 31 36 16
39 29 39 29
42 27 39 27
41 28 41 24
39 25 32 27
39 28 44 27
41 30 39 29
32 28 38 22
36 25 40 24
36 31 39 19
36 28 43 23
36 27 41 22
41 29 39 21
35 33 40 24
38 29 42 22
34 29 35 27
38 25 39 25
35 27 38 24
36 27 48 36
35 32 36 32
34 32 34 26
44 30 43 27
33 35 43 26
30 28 44 28
40 25 38 25
36 33 35 30
33 32 38 21
36 28 40 32
41 33 41 24
41 29 36 22
46 28 48 28
36 31 42 23
37 26 43 30
38 31 40 30
38 31 44 24
42 34 39 22
33 28 38 24
32 26 27 26
33 30 43 21
35 30 40 26
42 31 36 23
35 31 43 26
40 32 40 25
38 33 42 24
32 31 42 21
37 34 42 25
35 24 36 20
37 28 38 21
36 35 38 21
39 38 45 31
28 25 42 20
40 27 38 23
33 33 30 17
37 26 46 22
34 31 45 21
34 36 45 19
40 31 35 24
40 24 45 23
41 34 40 26
40 26 40 25
34 28 35 27
39 26 40 28
33 29 44 25
41 22 42 24
35 37 33 26
35 29 40 26
36 29 39 23
35 27 38 21
37 27 39 21
33 32 34 25
44 25 45 24
43 32 41 24
38 30 46 23
38 28 41 29
39 27 45 27
40 32 37 32
36 28 44 24
36 30 47 19
42 32 42 20
40 31 35 33
41 32 42 19
38 32 36 29
38 28 44 25
37 26 38 27
39 27 49 23
40 37 44 24
41 28 42 25
37 32 47 27
29 31 46 21
43 31 43 23
31 27 37 31
35 30 46 27
37 40 43 25
32 32 35 23
39 29 36 28
36 31 42 28
41 26 36 24
32 29 36 31
37 29 37 29
38 35 42 30
43 28 43 25
40 29 39 25
27 29 36 21
38 34 39 26
37 34 38 28
34 26 43 24
40 29 47 22
38 31 38 24
33 24 32 24
39 30 40 21
41 29 37 29
42 30 44 20
37 30 39 19
38 35 40 31
38 38 38 27
40 30 43 23
41 36 40 22
36 28 42 27
36 31 36 22
40 38 46 24
40 29 46 24
47 27 42 27
42 32 39 22
34 26 43 17
39 30 43 26
34 35 36 24
42 32 44 29
33 23 41 27
41 28 42 24
32 32 44 29
32 29 38 33
41 25 37 18
39 27 43 22
34 28 37 28
44 33 43 25
35 31 35 23
35 25 35 23
38 34 35 25
36 33 39 27
30 27 43 23
37 23 46 25
39 30 31 22
37 35 40 27
41 28 39 28
39 31 40 24
43 30 39 25
35 34 47 25
40 26 43 20
44 30 43 22
34 28 35 22
35 30 38 24
41 31 42 23
39 30 40 26
38 27 47 30
38 32 39 24
42 31 35 23
40 33 37 20
37 34 39 24
42 28 37 23
41 31 38 28
40 30 48 25
34 30 39 28
36 29 39 23
43 21 42 17
31 32 40 29
38 22 38 26
36 23 35 27
39 28 37 26
36 28 42 26
32 25 37 24
41 28 37 26
35 29 42 18
38 25 46 21
35 30 46 25
38 37 29 17
38 28 44 28
39 27 42 30
36 33 38 28
41 37 42 25
42 28 41 15
36 28 36 23
39 31 39 28
34 37 48 24
42 32 41 21
36 24 39 27
40 29 41 32
38 33 38 25
39 26 42 19
30 32 40 19
37 26 43 27
40 23 42 20
36 25 36 25
36 26 39 24
38 30 47 25
36 29 41 26
42 22 41 21
40 30 38 25
36 26 44 25
40 31 44 24
36 27 41 22
39 26 41 23
43 33 42 27
39 34 36 21
36 29 42 26
30 25 35 26
42 30 45 28
34 25 37 24
39 28 34 25
38 32 40 30
39 32 39 23
39 29 41 28
40 34 43 19
33 24 39 23
35 24 44 30
35 23 38 22
33 33 36 26
40 26 44 19
34 30 40 34
35 26 34 25
36 27 44 28
36 30 43 23
40 32 40 23
40 27 44 28
38 34 36 28
36 27 42 25
37 34 44 22
36 34 42 25
35 30 39 25
32 28 37 23
39 30 36 23
35 19 38 20
31 30 39 24
34 35 41 32
40 36 40 21
40 35 40 21
34 27 42 27
38 33 41 22
37 31 44 22
33 29 42 21
37 30 45 24
32 31 35 19
37 35 43 27
32 34 38 21
40 32 40 25
39 34 45 25
40 27 39 25
32 32 44 26
33 25 43 23
35 27 36 26
39 31 35 20
41 30 37 31
37 35 42 24
41 25 40 23
39 28 38 18
41 25 40 21
37 31 31 24
39 29 47 18
38 23 40 23
39 24 42 26
36 32 41 26
36 29 43 17
40 28 40 27
43 33 36 25
31 36 40 22
38 26 48 26
40 20 44 20
41 25 47 22
41 32 40 29
41 30 43 24
40 31 42 26
36 28 41 18
33 32 44 22
41 34 41 32
32 28 39 26
35 32 45 27
44 33 39 20
39 31 39 26
34 29 43 25
34 38 45 21
37 28 34 24
31 28 38 23
33 25 33 24
35 27 31 26
46 28 42 21
40 39 39 24
44 29 42 28
36 26 37 22
43 24 40 19
40 25 39 22
37 28 39 25
33 32 42 22
44 26 37 22
36 22 34 22
40 32 48 20
36 38 43 27
37 23 40 24
36 29 35 19
35 33 41 19
36 30 44 25
31 33 40 26
44 30 43 25
40 28 37 26
39 32 39 27
42 29 47 27
42 27 43 25
34 30 46 25
35 32 43 21
33 26 47 18
32 25 42 21
43 35 37 34
35 21 40 28
38 29 37 24
34 28 36 27
38 33 38 18
40 23 44 26
43 25 46 27
38 33 40 20
38 32 37 21
40 28 41 19
34 23 36 24
33 30 39 21
39 32 41 17
34 36 39 16
32 29 35 26
38 33 42 31
42 23 40 22
37 26 46 26
34 28 42 30
40 33 45 24
36 26 37 25
38 36 44 32
41 36 41 24
35 28 40 27
33 28 38 22
33 25 35 25
37 30 39 28
41 32 46 23
36 30 38 23
39 26 38 27
34 29 46 19
38 27 43 23
35 26 39 29
40 30 38 26
37 30 40 28
41 32 42 23
40 26 42 32
37 25 42 18
40 34 42 20
38 33 42 27
36 30 41 22
26 23 26 14
45 28 45 30
34 33 35 25
42 34 46 30
36 22 40 21
36 33 37 22
37 31 37 23
43 31 40 24
36 29 46 24
33 31 40 22
40 23 37 25
35 25 39 25
35 27 39 25
42 26 41 30
34 30 38 21
44 28 45 25
35 31 37 26
40 32 43 29
41 33 42 29
36 28 38 23
41 29 40 18
40 29 40 25
36 30 40 23
34 24 42 23
37 38 45 27
40 26 45 24
38 31 46 26
40 32 40 31
40 31 45 26
37 28 39 25
40 31 40 26
37 33 38 28
42 31 42 25
40 32 43 20
33 31 40 25
36 28 37 27
37 31 45 23
35 30 41 30
36 28 43 26
39 28 35 21
34 27 36 26
38 33 36 28
39 32 37 25
38 32 39 21
39 30 38 29
33 27 37 18
33 30 44 32
33 28 36 20
34 24 44 28
35 27 40 27
41 35 42 26
34 27 34 27
32 26 48 21
32 33 36 39
36 33 45 24
34 30 35 20
36 24 40 29
34 33 36 28
37 31 40 27
37 23 45 23
40 25 43 21
37 30 42 26
37 29 43 21
41 34 40 24
31 31 37 26
38 30 34 17
39 39 46 32
37 35 43 23
40 26 37 27
37 31 35 25
38 33 36 26
38 24 33 19
36 25 39 19
40 30 43 20
41 30 39 20
39 33 40 23
38 36 44 23
41 28 38 26
39 34 47 26
39 30 40 22
40 35 34 24
38 31 38 23
32 29 46 26
42 34 41 28
39 28 37 24
42 27 34 22
39 34 43 22
37 22 41 20
35 27 42 27
33 27 40 27
37 29 43 24
38 27 43 24
38 26 44 23
36 30 44 27
36 30 36 29
40 29 43 32
37 28 45 17
37 32 38 29
35 31 45 26
31 27 46 26
35 29 45 23
40 29 40 21
40 33 32 25
38 33 43 29
34 27 48 24
32 33 38 27
41 25 46 28
42 27 41 23
41 32 36 27
32 32 42 25
36 30 35 30
37 42 44 29
35 27 36 23
36 24 42 23
39 29 46 26
35 27 42 26
33 25 40 25
40 35 38 27
32 29 42 24
33 30 45 25
39 29 41 21
35 26 47 28
41 28 42 29
40 33 41 26
41 38 43 19
38 31 41 22
40 33 44 25
41 36 47 20
44 30 42 28
34 32 38 21
39 34 42 24
39 28 42 25
39 31 35 24
36 28 45 24
37 26 44 28
36 30 41 30
37 29 42 27
37 35 37 30
32 28 37 31
35 30 40 24
40 35 47 24
42 19 41 18
37 31 41 29
34 33 42 23
33 26 41 25
