// Initial random seed:
1501730706867

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
800
94 50 94 50
94 215 94 215
94 237 94 237
94 256 94 256
94 302 94 302
94 316 92 318
94 309 91 312
94 316 91 319
92 316 91 317
91 338 90 339
89 342 88 343
88 322 88 322
87 342 85 344
88 347 85 350
84 364 81 367
86 352 81 357
86 373 83 376
86 363 81 368
85 349 81 353
86 357 81 362
86 347 80 353
85 385 77 393
85 382 81 386
88 381 79 390
84 365 80 369
85 371 79 377
83 392 79 396
87 397 79 405
84 376 82 378
78 394 83 389
79 404 80 403
79 409 79 409
81 412 79 414
87 409 80 416
84 407 81 410
85 400 86 399
83 421 88 416
81 415 90 406
86 389 86 389
80 409 84 405
82 390 86 386
82 401 86 397
83 404 81 406
84 405 78 411
85 411 83 413
84 413 79 418
84 396 82 398
85 435 85 435
85 426 83 428
82 421 86 417
83 419 88 414
79 435 87 427
80 428 86 422
78 427 86 419
81 432 86 427
80 427 86 421
79 434 89 424
80 446 82 444
76 447 86 437
75 426 86 415
77 434 83 428
79 417 86 410
78 433 87 424
78 455 85 448
82 429 80 431
79 420 81 418
79 413 82 410
79 420 84 415
80 423 87 416
80 414 87 407
81 424 89 416
81 431 88 424
85 424 91 418
84 441 91 434
82 441 91 432
80 437 89 428
80 425 91 414
80 431 89 422
85 432 87 430
83 427 89 421
85 421 91 415
89 422 89 422
84 415 89 410
84 406 89 401
84 408 94 398
84 424 87 421
87 416 92 411
85 426 92 419
89 438 96 431
93 416 93 416
91 428 96 423
91 440 100 431
94 426 102 418
94 428 100 422
94 421 102 413
95 428 97 426
95 418 98 415
95 426 95 426
99 402 90 411
96 417 90 423
95 398 95 398
95 427 95 427
100 423 97 426
98 416 94 420
97 402 94 405
99 402 96 405
96 429 94 431
91 432 89 434
90 433 92 431
95 439 89 445
93 420 92 421
92 427 93 426
94 422 90 426
95 431 93 433
97 433 92 438
99 432 95 436
100 416 96 420
101 418 96 423
99 407 95 411
97 431 94 434
99 434 95 438
97 437 101 433
97 430 97 430
98 434 101 431
96 426 98 424
98 419 98 419
95 441 98 438
97 433 95 435
94 430 95 429
94 413 92 415
95 412 92 415
97 425 92 430
100 414 94 420
99 429 94 434
96 438 96 438
94 414 97 411
94 425 97 422
92 448 96 444
95 441 101 435
92 449 99 442
92 448 97 443
88 453 99 442
91 451 96 446
93 457 99 451
96 462 100 458
96 434 99 431
98 437 100 435
98 432 95 435
98 443 98 443
99 440 98 441
97 427 96 428
96 435 97 434
95 453 101 447
95 450 99 446
98 418 101 415
101 432 96 437
99 437 100 436
101 432 102 431
100 432 102 430
103 420 106 417
104 434 104 434
101 433 107 427
102 440 108 434
102 426 106 422
100 440 105 435
99 436 106 429
102 416 108 410
98 443 108 433
99 446 108 437
100 461 109 452
99 434 108 425
100 437 108 429
105 444 108 441
102 417 108 411
103 408 110 401
99 428 110 417
97 436 107 426
97 454 106 445
98 448 107 439
98 432 105 425
103 449 107 445
102 413 109 406
102 438 108 432
102 433 108 427
105 451 109 447
104 445 109 440
102 431 109 424
102 428 108 422
107 411 111 407
104 433 111 426
104 417 111 410
101 426 113 414
107 436 110 433
104 424 115 413
105 431 113 423
104 422 113 413
105 441 112 434
103 444 112 435
105 438 113 430
105 453 111 447
106 451 110 447
106 439 110 435
105 445 110 440
106 439 109 436
108 446 112 442
112 445 113 444
111 458 112 457
111 471 110 472
112 459 112 459
109 458 109 458
106 444 109 441
110 453 112 451
111 454 108 457
110 435 113 432
111 436 115 432
112 459 120 451
110 447 115 442
109 443 114 438
112 464 116 460
110 432 113 429
111 449 112 448
111 442 116 437
110 444 113 441
107 456 118 445
108 461 120 449
108 468 122 454
108 472 119 461
109 461 121 449
111 456 120 447
111 459 115 455
110 438 118 430
108 466 115 459
106 450 117 439
109 443 118 434
110 428 117 421
111 449 119 441
107 469 122 454
106 457 121 442
111 456 121 446
110 441 122 429
110 425 122 413
110 436 118 428
113 443 121 435
113 429 123 419
114 424 122 416
116 439 120 435
115 425 121 419
111 442 121 432
113 449 119 443
112 456 121 447
113 442 125 430
116 437 128 425
112 446 125 433
113 450 129 434
113 444 125 432
112 456 126 442
111 461 128 444
109 463 126 446
114 458 127 445
109 469 127 451
107 460 126 441
109 468 128 449
112 452 130 434
115 458 129 444
113 460 126 447
112 457 128 441
113 460 125 448
113 471 126 458
113 485 124 474
116 457 122 451
115 453 125 443
115 458 125 448
120 455 127 448
119 481 129 471
118 488 128 478
121 477 123 475
124 472 128 468
122 451 124 449
119 465 127 457
121 463 126 458
122 460 128 454
122 450 124 448
124 451 126 449
127 447 127 447
127 450 131 446
130 437 135 432
127 457 130 454
127 439 125 441
128 434 125 437
126 448 123 451
129 442 127 444
126 435 127 434
127 448 128 447
128 430 128 430
126 416 128 414
126 444 127 443
122 443 128 437
121 441 131 431
125 445 129 441
125 449 128 446
127 444 131 440
125 458 127 456
127 442 133 436
124 465 130 459
126 474 132 468
126 454 138 442
126 451 137 440
130 451 131 450
129 472 132 469
130 469 134 465
130 475 135 470
130 459 135 454
133 458 131 460
130 464 136 458
131 478 136 473
131 453 135 449
132 449 137 444
134 464 136 462
136 464 140 460
135 458 140 453
133 478 140 471
138 459 137 460
136 449 139 446
139 469 139 469
137 447 138 446
141 444 139 446
142 467 140 469
142 445 140 447
141 443 137 447
142 451 141 452
142 457 142 457
143 453 142 454
144 448 145 447
144 454 145 453
144 447 140 451
144 438 140 442
143 438 141 440
140 450 140 450
141 442 138 445
139 453 138 454
140 444 141 443
140 451 140 451
144 437 145 436
144 441 143 442
146 435 144 437
144 461 143 462
148 461 140 469
144 431 142 433
150 438 142 446
147 442 142 447
146 428 144 430
144 441 143 442
142 460 143 459
142 448 145 445
147 449 146 450
145 445 146 444
146 465 145 466
147 449 149 447
147 457 147 457
143 449 146 446
141 455 149 447
140 448 148 440
143 469 142 470
148 442 147 443
149 460 145 464
149 453 145 457
146 467 144 469
147 456 145 458
150 446 146 450
149 446 147 448
145 451 149 447
150 437 148 439
151 432 148 435
152 457 149 460
151 462 151 462
150 441 159 432
148 461 158 451
151 444 153 442
149 439 155 433
150 422 152 420
146 435 153 428
148 444 151 441
149 444 152 441
150 447 153 444
148 437 153 432
152 434 156 430
154 437 155 436
155 433 150 438
156 430 150 436
155 432 149 438
154 467 149 472
154 460 148 466
155 444 147 452
157 427 147 437
156 437 149 444
157 442 152 447
160 438 151 447
154 444 150 448
154 461 152 463
156 449 151 454
157 454 151 460
157 443 146 454
157 423 147 433
160 457 149 468
160 449 150 459
159 457 151 465
163 450 152 461
158 458 154 462
164 441 156 449
163 444 156 451
164 465 156 473
165 435 157 443
166 418 157 427
160 429 152 437
163 445 154 454
164 453 156 461
163 458 160 461
157 450 159 448
163 451 160 454
158 446 158 446
160 448 158 450
159 436 155 440
161 447 153 455
161 443 150 454
162 454 155 461
160 425 155 430
163 437 158 442
161 433 154 440
163 440 154 449
166 459 154 471
161 455 152 464
163 440 155 448
163 451 151 463
162 444 150 456
162 441 154 449
160 467 155 472
163 466 158 471
163 464 159 468
166 452 157 461
164 458 159 463
165 445 162 448
162 431 159 434
164 434 161 437
163 453 162 454
163 445 159 449
163 433 159 437
166 443 161 448
168 433 162 439
166 452 162 456
171 433 161 443
171 466 161 476
168 450 161 457
170 441 164 447
166 454 162 458
163 441 162 442
170 431 160 441
170 444 159 455
169 449 159 459
171 435 159 447
171 446 164 453
170 450 160 460
173 434 164 443
171 457 168 460
172 446 168 450
175 433 167 441
172 436 166 442
173 446 167 452
172 422 166 428
170 434 166 438
172 450 166 456
172 424 168 428
169 418 168 419
169 430 171 428
173 418 170 421
173 442 171 444
171 445 166 450
174 441 168 447
173 429 164 438
175 433 165 443
172 458 170 460
175 446 172 449
172 444 171 445
171 445 168 448
171 459 167 463
173 446 168 451
173 453 171 455
171 448 174 445
175 418 170 423
172 421 176 417
176 423 171 428
173 425 170 428
174 447 168 453
175 434 169 440
179 432 168 443
179 434 168 445
176 444 167 453
178 439 166 451
179 441 168 452
178 432 168 442
177 442 169 450
178 435 170 443
178 430 170 438
177 426 169 434
176 445 172 449
176 439 172 443
177 425 171 431
175 435 171 439
176 447 170 453
174 440 170 444
172 453 171 454
170 458 171 457
171 451 170 452
171 451 170 452
175 441 172 444
173 430 171 432
176 448 171 453
172 437 171 438
173 463 172 464
173 456 172 457
176 452 173 455
175 452 173 454
180 452 172 460
176 445 174 447
178 435 172 441
175 427 173 429
175 438 169 444
175 424 170 429
178 435 170 443
177 429 170 436
180 432 170 442
182 450 173 459
181 431 174 438
181 436 179 438
179 434 177 436
181 441 180 442
180 451 175 456
179 435 179 435
181 435 181 435
181 424 182 423
180 428 181 427
181 430 181 430
180 432 182 430
182 446 182 446
181 449 178 452
182 448 178 452
182 461 177 466
181 433 177 437
182 451 181 452
181 434 180 435
186 423 181 428
185 418 184 419
188 432 185 435
187 427 186 428
188 431 183 436
186 446 184 448
183 438 186 435
182 449 183 448
186 440 186 440
188 419 186 421
186 426 189 423
184 444 186 442
188 420 188 420
191 419 187 423
186 430 187 429
185 427 189 423
182 425 187 420
185 429 186 428
186 434 187 433
182 422 187 417
183 440 187 436
182 445 187 440
186 429 188 427
186 423 187 422
184 442 185 441
188 455 187 456
186 437 186 437
185 437 187 435
185 461 185 461
189 461 184 466
187 446 183 450
188 440 186 442
186 451 185 452
192 443 185 450
192 459 185 466
192 441 188 445
188 426 189 425
188 451 186 453
189 439 189 439
191 419 190 420
189 447 189 447
193 439 192 440
193 425 194 424
191 436 190 437
192 443 194 441
194 455 192 457
198 452 194 456
196 447 196 447
200 436 196 440
196 448 194 450
193 467 194 466
195 465 193 467
195 458 195 458
193 447 195 445
194 453 193 454
195 429 194 430
195 441 196 440
195 438 195 438
197 434 201 430
199 448 200 447
197 435 198 434
203 441 196 448
202 418 198 422
201 438 201 438
201 425 197 429
198 429 198 429
197 443 195 445
203 440 198 445
201 447 193 455
202 444 196 450
202 436 193 445
200 442 196 446
202 456 197 461
204 452 199 457
200 441 192 449
199 438 195 442
198 459 196 461
199 448 197 450
204 435 198 441
200 445 199 446
196 453 194 455
198 463 196 465
198 455 200 453
202 449 202 449
202 455 196 461
197 457 200 454
197 461 201 457
200 473 200 473
200 452 201 451
199 453 200 452
199 459 200 458
203 453 197 459
204 458 205 457
203 448 204 447
206 447 205 448
210 433 203 440
212 425 202 435
212 424 205 431
210 427 206 431
212 437 207 442
211 439 207 443
215 439 204 450
214 429 204 439
216 443 203 456
217 437 208 446
217 452 207 462
213 452 208 457
220 442 207 455
216 440 209 447
214 418 211 421
214 453 206 461
214 432 207 439
212 426 205 433
211 443 208 446
218 427 204 441
217 446 206 457
214 445 209 450
212 447 209 450
215 444 206 453
214 440 209 445
213 431 207 437
209 445 211 443
212 434 210 436
212 430 206 436
210 460 207 463
209 441 206 444
209 453 204 458
208 433 208 433
208 444 207 445
206 440 205 441
207 450 206 451
208 450 209 449
209 451 210 450
206 458 208 456
209 438 209 438
209 440 212 437
213 443 208 448
211 454 211 454
209 435 209 435
213 441 211 443
215 441 211 445
217 435 209 443
210 450 208 452
210 438 207 441
211 444 211 444
210 433 208 435
213 438 208 443
213 436 208 441
211 424 208 427
213 431 214 430
208 435 216 427
212 429 212 429
210 440 211 439
211 444 212 443
213 444 215 442
214 448 215 447
217 426 215 428
216 422 211 427
218 440 210 448
222 427 210 439
221 434 215 440
224 448 215 457
220 449 213 456
219 440 213 446
216 445 214 447
215 455 214 456
221 445 216 450
221 427 217 431
221 463 216 468
221 450 211 460
222 427 210 439
220 431 210 441
224 456 209 471
222 447 211 458
217 451 213 455
222 433 214 441
218 441 215 444
217 434 214 437
