// Initial random seed:
1501322493972

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
800
115 32 115 32
115 228 115 228
115 252 115 252
114 266 114 266
114 258 114 258
113 314 113 314
114 293 114 293
112 287 112 287
110 295 110 295
111 335 111 335
110 334 110 334
107 344 108 343
108 333 108 333
108 356 107 357
106 346 104 348
105 370 102 373
104 369 102 371
104 381 101 384
104 378 100 382
103 387 98 392
102 357 97 362
100 371 93 378
103 360 96 367
99 373 91 381
94 387 89 392
94 372 88 378
89 373 82 380
94 395 86 403
93 416 85 424
89 394 82 401
89 414 81 422
78 429 70 437
80 411 74 417
81 406 74 413
79 422 73 428
85 419 77 427
82 402 78 406
82 405 79 408
83 421 79 425
83 414 80 417
84 438 80 442
84 441 80 445
87 445 81 451
78 446 73 451
85 443 82 446
82 441 80 443
83 438 78 443
87 441 77 451
88 436 76 448
87 411 78 420
85 418 75 428
82 446 80 448
78 441 75 444
82 456 81 457
81 445 79 447
81 412 77 416
81 437 77 441
75 464 76 463
77 455 75 457
78 428 71 435
80 440 74 446
80 446 73 453
75 452 76 451
79 455 72 462
80 411 79 412
78 439 81 436
75 448 79 444
74 446 76 444
72 442 67 447
73 446 67 452
74 445 69 450
78 464 72 470
79 461 74 466
72 459 68 463
72 478 70 480
73 466 72 467
71 469 71 469
75 486 71 490
71 479 73 477
66 463 74 455
63 464 66 461
63 466 67 462
63 475 61 477
62 476 62 476
63 472 65 470
60 498 61 497
62 471 66 467
61 480 67 474
61 472 65 468
60 480 65 475
59 495 66 488
63 488 66 485
61 492 63 490
60 480 66 474
60 480 65 475
61 492 63 490
60 479 63 476
63 487 66 484
63 476 64 475
56 504 62 498
55 479 57 477
54 469 59 464
59 468 56 471
61 467 56 472
63 493 57 499
58 476 54 480
64 494 60 498
58 495 55 498
60 495 55 500
57 502 54 505
55 492 53 494
57 497 53 501
57 509 56 510
63 485 53 495
58 496 52 502
61 506 56 511
56 496 50 502
55 519 48 526
54 533 52 535
56 506 47 515
59 524 49 534
57 510 48 519
56 517 48 525
57 515 50 522
56 487 47 496
59 490 55 494
63 489 50 502
59 502 46 515
58 481 45 494
60 502 45 517
62 480 43 499
59 500 47 512
58 501 45 514
60 482 42 500
60 508 45 523
62 497 43 516
63 516 44 535
61 519 44 536
58 512 38 532
62 508 43 527
65 502 46 521
63 482 45 500
64 485 45 504
64 499 45 518
68 498 46 520
71 492 46 517
72 495 45 522
71 508 44 535
71 498 47 522
71 519 41 549
66 535 44 557
68 508 43 533
66 508 40 534
69 528 46 551
63 511 38 536
66 493 38 521
63 492 38 517
66 488 35 519
65 515 37 543
67 485 40 512
69 481 40 510
66 501 39 528
60 518 34 544
64 521 38 547
64 508 38 534
63 496 36 523
62 503 39 526
60 505 40 525
60 512 38 534
58 504 43 519
61 516 45 532
63 510 41 532
59 503 39 523
63 499 42 520
59 504 43 520
62 511 44 529
57 494 40 511
59 492 42 509
57 491 43 505
59 508 43 524
57 498 45 510
57 522 44 535
57 507 42 522
56 503 42 517
55 506 39 522
54 498 36 516
54 503 37 520
55 499 40 514
58 498 41 515
54 515 39 530
57 488 42 503
61 494 43 512
59 501 42 518
59 499 46 512
60 491 46 505
60 500 48 512
59 493 46 506
57 514 43 528
59 501 45 515
60 521 40 541
57 513 41 529
56 503 42 517
57 507 42 522
59 497 42 514
54 523 43 534
52 512 45 519
49 527 48 528
50 499 51 498
50 524 50 524
56 531 50 537
53 510 48 515
55 530 46 539
46 541 43 544
49 532 47 534
46 500 45 501
51 510 46 515
52 536 45 543
47 527 46 528
47 522 46 523
48 549 50 547
47 532 48 531
48 524 46 526
50 532 47 535
54 522 50 526
53 529 49 533
52 527 51 528
52 533 52 533
53 539 49 543
50 544 46 548
52 526 51 527
52 542 51 543
55 552 54 553
54 534 51 537
54 529 53 530
54 530 52 532
54 532 51 535
57 552 45 564
58 524 44 538
53 548 44 557
53 550 43 560
51 537 43 545
51 527 44 534
53 549 42 560
49 535 45 539
53 522 42 533
52 520 42 530
52 531 44 539
53 507 43 517
50 529 46 533
50 521 44 527
49 515 47 517
47 535 46 536
50 545 44 551
45 545 41 549
43 549 41 551
48 535 44 539
46 517 46 517
47 543 41 549
48 539 46 541
49 540 46 543
51 547 44 554
55 534 42 547
52 536 40 548
45 560 44 561
49 537 44 542
45 544 43 546
44 549 46 547
47 554 43 558
48 542 47 543
46 548 49 545
44 554 46 552
43 563 46 560
42 547 44 545
44 546 45 545
46 551 43 554
51 539 43 547
45 553 45 553
47 567 46 568
49 560 49 560
50 548 52 546
51 559 50 560
45 544 51 538
43 558 49 552
45 537 50 532
44 564 51 557
41 589 54 576
43 561 49 555
43 555 52 546
43 565 50 558
42 554 57 539
37 556 53 540
39 577 51 565
35 577 58 554
36 576 57 555
43 573 59 557
41 559 60 540
41 562 59 544
43 559 59 543
44 534 59 519
42 549 56 535
41 574 56 559
42 566 58 550
44 565 58 551
41 560 61 540
41 546 62 525
41 555 58 538
43 542 53 532
40 548 55 533
42 550 54 538
44 546 49 541
40 545 50 535
41 557 55 543
40 529 54 515
38 568 51 555
43 550 55 538
44 568 57 555
41 543 55 529
44 557 56 545
43 551 58 536
40 560 56 544
43 546 54 535
45 537 59 523
45 540 56 529
45 562 59 548
46 555 56 545
43 539 56 526
40 565 56 549
41 567 54 554
40 543 56 527
39 553 59 533
41 554 58 537
43 566 56 553
45 578 55 568
49 570 55 564
44 570 53 561
41 559 51 549
43 563 53 553
45 557 53 549
44 573 53 564
41 581 54 568
41 562 57 546
48 559 52 555
48 553 54 547
46 547 57 536
41 564 59 546
44 560 54 550
44 546 55 535
43 555 56 542
45 551 58 538
45 552 56 541
49 556 56 549
47 573 54 566
52 553 58 547
55 545 55 545
49 559 55 553
46 561 56 551
53 553 58 548
50 541 55 536
50 543 58 535
47 556 61 542
45 583 57 571
47 579 52 574
44 554 56 542
42 553 55 540
38 560 52 546
43 537 51 529
40 562 53 549
42 541 53 530
46 553 55 544
46 566 54 558
46 573 56 563
43 558 55 546
45 540 56 529
47 532 55 524
45 544 54 535
49 556 56 549
43 577 52 568
41 567 47 561
38 564 50 552
39 585 52 572
44 579 51 572
44 581 48 577
45 582 48 579
46 572 46 572
44 571 47 568
46 571 49 568
50 564 48 566
46 588 47 587
45 587 46 586
51 582 45 588
52 553 39 566
52 570 40 582
50 564 42 572
52 570 43 579
45 568 46 567
43 570 45 568
42 571 41 572
46 567 43 570
45 581 48 578
44 586 47 583
46 566 48 564
47 555 48 554
40 568 49 559
44 552 46 550
46 552 45 553
48 565 45 568
46 551 44 553
48 561 41 568
45 545 40 550
45 549 44 550
47 556 47 556
43 555 45 553
46 549 49 546
41 570 48 563
44 566 49 561
38 568 50 556
45 559 49 555
40 577 48 569
41 563 49 555
40 561 47 554
42 564 47 559
41 579 49 571
41 566 50 557
39 579 49 569
37 545 49 533
39 568 47 560
36 547 48 535
40 575 46 569
43 577 46 574
44 560 46 558
40 560 46 554
40 548 44 544
40 557 47 550
38 575 43 570
36 585 45 576
34 564 45 553
38 568 45 561
37 562 46 553
39 564 44 559
41 569 42 568
37 566 48 555
38 589 50 577
36 578 49 565
35 591 52 574
36 570 48 558
39 576 47 568
33 595 50 578
37 595 52 580
39 578 50 567
39 586 52 573
42 580 53 569
43 567 54 556
37 561 51 547
39 605 48 596
42 560 48 554
39 574 53 560
36 574 50 560
36 585 47 574
43 589 47 585
41 574 49 566
41 605 49 597
43 571 50 564
46 558 52 552
44 570 54 560
43 578 52 569
44 570 54 560
37 576 53 560
40 581 51 570
34 559 49 544
34 601 56 579
33 576 51 558
35 586 49 572
38 590 49 579
36 589 48 577
38 580 49 569
40 579 51 568
38 599 54 583
40 577 54 563
41 569 50 560
40 580 50 570
41 576 48 569
38 576 43 571
38 578 38 578
37 586 44 579
35 577 47 565
36 580 49 567
37 586 49 574
39 590 47 582
36 569 47 558
40 582 52 570
40 597 52 585
45 596 50 591
40 604 50 594
44 584 47 581
43 576 47 572
38 580 50 568
42 575 50 567
42 564 56 550
41 576 54 563
42 557 55 544
44 581 63 562
43 581 57 567
44 569 58 555
43 602 55 590
46 564 51 559
41 590 50 581
41 566 44 563
41 586 46 581
41 585 47 579
43 576 45 574
40 583 44 579
41 586 45 582
38 572 43 567
39 596 41 594
45 580 43 582
39 595 44 590
41 581 44 578
41 583 47 577
39 605 37 607
39 596 44 591
41 588 39 590
46 591 36 601
47 578 37 588
43 587 41 589
39 614 43 610
43 603 40 606
42 583 42 583
45 601 39 607
41 581 38 584
39 580 40 579
42 583 39 586
40 581 40 581
41 572 42 571
45 568 44 569
43 587 41 589
43 585 41 587
44 585 47 582
44 592 44 592
46 581 46 581
43 582 42 583
37 591 44 584
41 585 46 580
46 564 46 564
46 583 42 587
44 595 43 596
42 584 43 583
42 596 49 589
42 581 46 577
43 568 44 567
37 589 45 581
41 576 47 570
42 592 44 590
42 588 43 587
44 592 45 591
41 606 43 604
42 602 43 601
42 606 44 604
44 591 46 589
45 582 48 579
46 584 46 584
47 580 47 580
45 587 48 584
46 572 45 573
44 585 44 585
43 576 46 573
45 595 44 596
40 602 46 596
43 587 43 587
43 593 45 591
47 578 43 582
47 577 46 578
47 582 43 586
46 577 46 577
44 588 41 591
43 597 42 598
43 595 39 599
44 584 40 588
45 597 42 600
47 577 41 583
46 570 40 576
48 568 43 573
46 581 45 582
45 584 48 581
46 594 45 595
45 598 44 599
45 609 48 606
45 582 51 576
44 597 47 594
44 588 46 586
49 584 49 584
48 567 47 568
45 592 46 591
45 596 48 593
45 594 47 592
45 594 50 589
46 593 48 591
42 601 48 595
47 598 45 600
43 624 45 622
39 620 44 615
43 619 49 613
51 608 46 613
47 605 49 603
49 597 49 597
46 588 46 588
48 610 45 613
45 598 47 596
46 603 46 603
46 594 46 594
43 596 46 593
41 604 48 597
40 608 48 600
43 591 45 589
45 592 47 590
47 607 44 610
41 617 45 613
45 620 44 621
41 631 46 626
42 602 42 602
43 608 44 607
41 612 42 611
44 604 46 602
47 597 48 596
47 602 50 599
51 585 48 588
50 594 45 599
54 613 51 616
52 619 50 621
49 592 43 598
51 610 46 615
49 599 47 601
47 610 44 613
45 601 46 600
45 610 45 610
47 582 48 581
46 614 50 610
44 613 49 608
42 609 47 604
42 598 46 594
45 607 51 601
48 580 50 578
53 585 52 586
51 601 54 598
46 609 48 607
47 599 50 596
47 611 50 608
47 599 48 598
46 614 48 612
49 608 48 609
46 606 49 603
45 597 51 591
44 604 41 607
43 618 44 617
42 625 45 622
46 604 47 603
41 618 41 618
41 636 47 630
45 598 43 600
43 614 41 616
45 605 38 612
42 614 40 616
39 624 49 614
46 616 51 611
46 629 52 623
42 641 53 630
41 619 54 606
41 631 57 615
41 628 53 616
41 625 50 616
46 619 50 615
45 623 49 619
50 623 47 626
51 625 54 622
49 604 55 598
50 621 55 616
50 614 52 612
49 622 50 621
50 617 54 613
49 626 53 622
48 618 49 617
46 631 54 623
45 635 57 623
46 622 58 610
50 604 53 601
48 625 53 620
53 628 58 623
44 645 53 636
45 643 51 637
47 631 50 628
46 634 54 626
44 639 50 633
40 630 54 616
41 647 51 637
49 628 48 629
48 652 48 652
48 642 46 644
49 624 49 624
42 630 43 629
41 638 45 634
44 633 44 633
44 615 42 617
43 625 46 622
42 618 42 618
47 608 46 609
52 624 49 627
50 615 45 620
53 612 48 617
51 614 50 615
53 610 53 610
49 626 53 622
44 630 49 625
45 641 50 636
44 640 50 634
44 652 47 649
47 623 45 625
48 631 50 629
47 643 46 644
45 634 50 629
41 640 49 632
42 654 49 647
45 642 50 637
42 632 49 625
40 637 44 633
41 617 45 613
43 632 48 627
43 632 51 624
46 629 46 629
