101 100
0.000123037 0.00464686 0.00491626
0.046481 0.164323 0.0143881
0.0492844 0.255355 0.0151375
0.0596916 0.317232 0.0136008
0.064983 0.383527 0.0170954
0.0671252 0.394192 0.017096
0.0720755 0.431612 0.0154212
0.0600586 0.479718 0.0159489
0.0669923 0.502081 0.0164655
0.058564 0.467677 0.0144834
0.063813 0.518699 0.0158572
0.0699748 0.551356 0.0142541
0.0680606 0.491264 0.019623
0.0789768 0.519917 0.0156191
0.0708921 0.496251 0.015085
0.0734902 0.485631 0.0138637
0.0790609 0.554945 0.0167683
0.0796644 0.525065 0.0194152
0.0655997 0.495935 0.015322
0.0708895 0.582691 0.0123303
0.0687916 0.544708 0.0137267
0.0690113 0.531614 0.0143187
0.0752947 0.562833 0.017298
0.0740057 0.566396 0.0141865
0.0679849 0.556052 0.0129024
0.0680045 0.536775 0.0160391
0.0631233 0.519226 0.0156094
0.0647574 0.584905 0.0147206
0.062804 0.530955 0.0160145
0.0644809 0.587659 0.0172773
0.0737287 0.569591 0.0131624
0.0780327 0.563234 0.0168156
0.0723499 0.596762 0.0150467
0.0692636 0.599525 0.01485
0.0666795 0.515501 0.015343
0.0638893 0.55036 0.014621
0.0609887 0.524461 0.0152618
0.0627874 0.5717 0.0159587
0.0636025 0.501528 0.0162687
0.0717186 0.550234 0.0173571
0.0736423 0.533036 0.0166684
0.0806082 0.578154 0.0172129
0.0661244 0.551874 0.0162937
0.0629289 0.571755 0.0142493
0.06088 0.540121 0.0145776
0.062586 0.561321 0.0159811
0.0654448 0.583461 0.0170258
0.0659635 0.60577 0.0130965
0.0668014 0.623205 0.0176225
0.0689444 0.52897 0.0134885
0.0716451 0.5656 0.0181826
0.0688492 0.523316 0.0129552
0.063726 0.559873 0.0161733
0.0649431 0.577373 0.0153086
0.0746436 0.58826 0.014225
0.0711032 0.581818 0.0149031
0.0690292 0.585881 0.0166497
0.0664242 0.530284 0.0162631
0.0694115 0.553461 0.0150636
0.0672465 0.563469 0.0139357
0.069034 0.55284 0.0145897
0.0711604 0.567881 0.0167305
0.0658479 0.563057 0.0158
0.0711057 0.553274 0.016625
0.0650365 0.555902 0.0167241
0.0608114 0.60755 0.0187872
0.0588561 0.595125 0.0160176
0.0604115 0.543709 0.0156986
0.059889 0.532734 0.0145438
0.0603779 0.512823 0.0156507
0.0680081 0.483368 0.0175108
0.0789987 0.493677 0.0168326
0.0758542 0.520157 0.0148885
0.0726204 0.56824 0.0153016
0.0697666 0.531465 0.0145839
0.0748677 0.537927 0.0142749
0.0721019 0.504159 0.0154417
0.0683567 0.513487 0.0153814
0.0664282 0.462584 0.0166329
0.0637542 0.588626 0.0158875
0.0597857 0.452533 0.0141393
0.0663226 0.510913 0.0148221
0.065784 0.530772 0.0159601
0.0658878 0.519837 0.0146485
0.0705684 0.536144 0.0165112
0.063418 0.526983 0.0129882
0.0661817 0.577166 0.0185422
0.0661524 0.53096 0.0172159
0.0682605 0.501284 0.0170765
0.0645948 0.498038 0.0146143
0.0727266 0.528268 0.0167966
0.069051 0.517415 0.0166969
0.0655134 0.474568 0.012621
0.0583718 0.4504 0.0151164
0.06368 0.466487 0.0130347
0.0615793 0.455652 0.0187208
0.0665781 0.503141 0.0145849
0.078472 0.563711 0.0150254
0.0672519 0.507955 0.0165685
0.0625299 0.485255 0.0161536
0.0646421 0.512356 0.0148469
