101 100
0.000167078 0.00357012 0.00444181
0.0284081 0.123703 0.0123229
0.0375734 0.184207 0.0131025
0.0448754 0.252656 0.0140133
0.0424338 0.275431 0.0124749
0.0467862 0.244123 0.0166068
0.0486324 0.35111 0.0166805
0.0448163 0.282787 0.0180204
0.0509227 0.334443 0.0138478
0.0569795 0.403153 0.0138294
0.0531665 0.331393 0.0141109
0.0551073 0.383605 0.0146094
0.0471271 0.390227 0.0136473
0.0491861 0.372128 0.0141588
0.0459386 0.36776 0.015594
0.0445503 0.372851 0.0151716
0.0378663 0.344167 0.0149337
0.0437101 0.344708 0.0149482
0.0486075 0.365823 0.0145389
0.0519265 0.388574 0.0144499
0.0491239 0.349269 0.0149034
0.0481123 0.417385 0.0156119
0.0464523 0.459665 0.0144191
0.0503763 0.401259 0.0165122
0.050071 0.407199 0.0115348
0.0451918 0.385637 0.0141842
0.0465973 0.383521 0.0141851
0.0447951 0.396425 0.0145463
0.0425857 0.37575 0.0148513
0.0476283 0.429948 0.0166021
0.0522026 0.482479 0.0158392
0.0443972 0.401076 0.0159943
0.0481186 0.409539 0.0137134
0.0409716 0.430057 0.0169789
0.0436916 0.432767 0.0146694
0.0463715 0.44293 0.0156539
0.0414964 0.402658 0.0176971
0.0452343 0.439581 0.0148452
0.0447538 0.414825 0.019279
0.0438761 0.445278 0.0155117
0.0448881 0.382336 0.0171381
0.0488393 0.398443 0.0137398
0.045228 0.414751 0.0183025
0.0478274 0.397989 0.0170413
0.0483391 0.407428 0.0155735
0.0483426 0.41602 0.0149602
0.0507506 0.46424 0.0134792
0.053267 0.462868 0.0172107
0.04386 0.450671 0.0155888
0.0432073 0.48555 0.0134341
0.0506508 0.456084 0.0157644
0.0557423 0.487369 0.0173386
0.052261 0.459535 0.0159241
0.0502473 0.48151 0.0175611
0.050349 0.468141 0.0156127
0.0482243 0.450731 0.0151643
0.0437983 0.426381 0.0169142
0.0387343 0.449439 0.0140043
0.0435844 0.48167 0.0163512
0.0457736 0.46483 0.0164382
0.0449226 0.429941 0.0179731
0.0497385 0.439148 0.016595
0.0412693 0.417321 0.016661
0.0476782 0.40603 0.0157549
0.0472611 0.437769 0.0178386
0.0474759 0.440238 0.0172525
0.0485821 0.478957 0.0172242
0.046383 0.418602 0.0154309
0.0457463 0.442066 0.0154826
0.045509 0.497465 0.0168025
0.0461815 0.469843 0.0142646
0.0478913 0.475604 0.0161827
0.0517631 0.500934 0.0164073
0.0480589 0.466981 0.0147968
0.0497308 0.491573 0.0163273
0.0526976 0.490309 0.0161014
0.0470736 0.477819 0.0152798
0.0492955 0.468121 0.0186364
0.047196 0.477231 0.0206747
0.0522618 0.470203 0.0160415
0.0465159 0.456842 0.0158216
0.0488453 0.518982 0.018732
0.04404 0.544335 0.016841
0.0453606 0.485322 0.0172763
0.050163 0.543119 0.0139135
0.0493082 0.567531 0.0167176
0.0449215 0.511639 0.0160153
0.0473457 0.538286 0.0158156
0.0431591 0.556115 0.0149044
0.0479859 0.548164 0.0156019
0.041352 0.464411 0.0164427
0.0455281 0.516021 0.0174733
0.0425942 0.473214 0.0167815
0.0430649 0.498823 0.0189027
0.0437402 0.508007 0.0144992
0.0457891 0.571388 0.0162108
0.0436396 0.535217 0.0170178
0.0415619 0.52559 0.017862
0.0411362 0.529084 0.0154517
0.0414228 0.471466 0.0165132
0.0423577 0.493763 0.0159848
