101 100
0.000120574 0.00473207 0.00478755
0.00784566 0.0944089 0.0122601
0.0059208 0.107619 0.0133873
0.00609899 0.11926 0.0135501
0.00535311 0.132621 0.0151311
0.00522542 0.128756 0.0117116
0.00396508 0.150795 0.0130661
0.00475897 0.122926 0.0146178
0.00325319 0.114967 0.013167
0.003783 0.120791 0.0141693
0.00370863 0.137279 0.0122176
0.00441733 0.137256 0.0120864
0.00515976 0.12986 0.00963358
0.00596431 0.144918 0.0155689
0.00505451 0.124701 0.013442
0.00615841 0.162397 0.0169804
0.00466715 0.153622 0.013901
0.00449079 0.132656 0.0160057
0.00410713 0.148172 0.0121473
0.00431008 0.171877 0.0156743
0.00397267 0.178962 0.0155433
0.00457495 0.180668 0.0145202
0.00499069 0.16402 0.0158071
0.00488714 0.155503 0.0161038
0.0053622 0.167356 0.0166101
0.00421789 0.172469 0.0164444
0.00395426 0.164975 0.0166048
0.0046339 0.18069 0.0142644
0.00644833 0.163677 0.0149423
0.00570907 0.192562 0.0143122
0.00492361 0.180168 0.0175069
0.00610856 0.175235 0.017287
0.00511612 0.179923 0.0160244
0.00363022 0.173584 0.0160831
0.00320435 0.176067 0.0161598
0.003641 0.163368 0.0140381
0.00317634 0.158984 0.0151396
0.00403177 0.156164 0.0159663
0.00357631 0.176495 0.0147336
0.00432949 0.157507 0.0121014
0.00402228 0.163557 0.0157701
0.00286428 0.153235 0.0139413
0.00384528 0.136876 0.0133088
0.0048224 0.155452 0.0160028
0.0039557 0.165045 0.0120114
0.00378683 0.166216 0.0151953
0.00473947 0.125994 0.0145162
0.0049371 0.163728 0.0141874
0.00391112 0.144547 0.012939
0.0046181 0.140056 0.015718
0.00566915 0.174934 0.0167292
0.00335827 0.171344 0.0155068
0.00467085 0.167334 0.0139683
0.00530065 0.17696 0.0183543
0.00378323 0.140613 0.0161792
0.00418934 0.161207 0.0162377
0.00437514 0.141239 0.0158706
0.00446486 0.143141 0.015714
0.00457956 0.149826 0.0146922
0.00456937 0.155051 0.0154219
0.00465339 0.158017 0.0152588
0.00317542 0.166016 0.0155076
0.00609204 0.19857 0.0167617
0.00253615 0.158692 0.0161369
0.00324826 0.157979 0.0152746
0.00295655 0.155231 0.0147849
0.00442625 0.148514 0.0119044
0.0041687 0.13707 0.0136064
0.00240454 0.144346 0.0135539
0.00336088 0.161117 0.0151718
0.00270532 0.190306 0.0153897
0.0037323 0.181705 0.0142475
0.00334896 0.168806 0.016081
0.00343992 0.164588 0.012598
0.00306054 0.17853 0.0134884
0.00332449 0.152331 0.0152751
0.00304892 0.145217 0.0142236
0.00352081 0.131817 0.0126244
0.00309708 0.180561 0.0142372
0.00316754 0.141182 0.0134881
0.00385523 0.158869 0.0177013
0.0032547 0.138648 0.0142007
0.00258709 0.140338 0.0131334
0.00328976 0.150468 0.0178082
0.00272442 0.139179 0.014292
0.00254443 0.11775 0.0148173
0.00222021 0.129878 0.014134
0.0030171 0.146748 0.0114093
0.0036437 0.137146 0.015441
0.00419037 0.137731 0.0127119
0.00285507 0.135685 0.0132611
0.00454244 0.143646 0.0156198
0.0024852 0.149313 0.0142149
0.00283705 0.164023 0.0133199
0.00386275 0.154814 0.0157245
0.00393491 0.160171 0.0165021
0.00311045 0.141688 0.0146265
0.00327213 0.144074 0.0146572
0.00316833 0.126578 0.0128972
0.00379739 0.153533 0.016536
0.00337604 0.17194 0.0132198
