101 100
8.51334e-05 0.00439661 0.00383015
0.101149 0.118104 0.0114533
0.139117 0.247524 0.0124374
0.15465 0.31475 0.0127402
0.1501 0.318826 0.0107914
0.17228 0.328485 0.0135862
0.156959 0.371564 0.0110111
0.15114 0.32344 0.0113626
0.156146 0.345031 0.0120971
0.161029 0.355555 0.0111275
0.158287 0.37037 0.0104403
0.150483 0.324294 0.0115988
0.155081 0.31507 0.013012
0.153963 0.365553 0.0109897
0.155101 0.276492 0.0158094
0.172214 0.359068 0.0137462
0.152736 0.249967 0.0118566
0.140683 0.2271 0.0139219
0.142454 0.385529 0.0162373
0.143048 0.377676 0.014645
0.133672 0.218576 0.0132558
0.14676 0.329468 0.0134801
0.148193 0.355894 0.0107339
0.157113 0.279249 0.0143532
0.144481 0.314974 0.0127235
0.161527 0.322115 0.0127133
0.143768 0.323326 0.0109542
0.154968 0.359587 0.012869
0.154438 0.43758 0.0162822
0.142062 0.358941 0.011878
0.142432 0.330722 0.0129954
0.159915 0.408817 0.0127851
0.170554 0.296989 0.0145471
0.162252 0.430768 0.0139854
0.166309 0.346282 0.00994172
0.156672 0.347004 0.0104322
0.172273 0.374024 0.010242
0.164497 0.335011 0.0119156
0.160045 0.352294 0.00869778
0.146552 0.284635 0.0116642
0.166653 0.405874 0.010482
0.154899 0.361295 0.0105016
0.162505 0.421443 0.0124172
0.147995 0.320557 0.0119275
0.159838 0.335675 0.0118044
0.153618 0.291378 0.0127779
0.162326 0.380635 0.0118998
0.166409 0.392679 0.0102045
0.180609 0.404382 0.0107509
0.171937 0.391613 0.0108139
0.165137 0.240291 0.0144526
0.160928 0.31526 0.0121421
0.176998 0.394538 0.0139619
0.169616 0.410191 0.0110258
0.183551 0.31031 0.0103057
0.162539 0.349259 0.0110521
0.157852 0.338117 0.0161923
0.14119 0.354492 0.0145653
0.156293 0.410236 0.0132865
0.148216 0.382706 0.0117042
0.16291 0.431566 0.0148505
0.156817 0.480743 0.0114183
0.158103 0.41399 0.00952642
0.163628 0.356269 0.0130016
0.144625 0.390525 0.0129835
0.147583 0.331499 0.0111096
0.149164 0.442896 0.0144259
0.149946 0.446637 0.0102368
0.158264 0.349215 0.00909779
0.148582 0.25463 0.010902
0.147741 0.401589 0.0130162
0.145696 0.306197 0.0145223
0.153844 0.299741 0.00999891
0.152905 0.16672 0.0110524
0.147384 0.340268 0.01101
0.147199 0.332025 0.0117687
0.160137 0.350366 0.0116098
0.145267 0.484271 0.0115105
0.163515 0.437688 0.0108708
0.145856 0.28511 0.0110875
0.152734 0.378334 0.0127051
0.142546 0.408651 0.012349
0.164645 0.411983 0.0100319
0.155214 0.386203 0.0140955
0.153389 0.368898 0.0142149
0.146387 0.404161 0.0111473
0.147633 0.408755 0.0115967
0.154374 0.455561 0.0113398
0.148563 0.371063 0.0124793
0.146023 0.367489 0.00957348
0.162547 0.388586 0.0125127
0.160172 0.331883 0.010918
0.162722 0.335699 0.0108327
0.1511 0.412564 0.00855827
0.163601 0.465021 0.00956278
0.140859 0.400188 0.0130888
0.153667 0.533036 0.0168164
0.163647 0.490755 0.0115353
0.155972 0.467941 0.0109253
0.160581 0.320287 0.0119426
0.153632 0.474243 0.00954812
